Name,Ticker,Last Price
Apranga,APG1L,1.655
Arco Vara,ARC1T,1.11
AUGA group,AUG1L,0.388
Baltika,BLT1T,0.46
Ekspress Grupp,EEG1T,0.86
EfTEN Real Estate Fund III,EFT1T,16.8
Energijos Skirstymo Operatorius,ESO1L,0.67
Grindeks,GRD1R,12.4
Grigeo,GRG1L,1.36
Harju Elekter,HAE1T,4.12
HansaMatrix,HMX1R,6.45
Klaipëdos nafta,KNF1L,0.372
LHV Group,LHV1T,11.85
Linas Agro Group,LNA1L,0.63
Lietuvos energijos gamyba,LNR1L,0.53
Merko Ehitus,MRK1T,9.16
Nordecon,NCN1T,0.93
Novaturas,NTU1L,7.15
Olainfarm,OLF1R,6.94
Pro Kapital Grupp,PKG1T,1.4
PRFoods,PRF1T,0.534
Panevëþio statybos trestas,PTR1L,0.72
Pieno þvaigþdës,PZV1L,0.94
Rokiðkio sûris,RSU1L,2.48
Ðiauliø bankas,SAB1L,0.455
SAF Tehnika,SAF1R,3.58
Silvano Fashion Group,SFG1T,2.32
Tallink Grupp,TAL1T,0.966
Telia Lietuva,TEL1L,1.115
Tallinna Kaubamaja Grupp,TKM1T,8.24
Tallinna Sadam,TSM1T,1.95
Tallinna Vesi,TVEAT,10.9
Vilkyðkiø pieninë,VLP1L,2.4
Amber Grid,AMG1L,1.09
Latvijas balzams,BAL1R,9.2
Brîvais Vilnis,BRV1R,0.555
Ditton pievadíçþu rûpnîca,DPK1R,0.145
Grobiòa,GRZ1R,1.88
Latvijas Gâze,GZE1R,10.5
INVL Technology,INC1L,1.72
INVL Baltic Farmland,INL1L,3.58
INVL Baltic Real Estate,INR1L,2.44
Invalda INVL,IVL1L,5.5
Kurzemes atslçga 1,KA11R,0.9
Kauno energija,KNR1L,0.92
LITGRID,LGD1L,0.625
Latvijas Jûras medicînas centrs,LJM1R,4
Linas,LNS1L,0.095
Rîgas autoelektroaparâtu rûpnîca,RAR1R,0.2
Rîgas elektromaðînbûves rûpnîca,RER1R,2.6
Rîgas juvelierizstrâdâjumu rûpnîca,RJR1R,0.088
Rîgas kuìu bûvçtava,RKB1R,0.085
VEF Radiotehnika RRR,RRR1R,0.2
Siguldas ciltslietu un mâkslîgâs apsçkloðanas stacija,SCM1R,2.02
Skano Group,SKN1T,0.48
PATA Saldus,SMA1R,19
Snaigë,SNG1L,0.18
Trigon Property Development,TPD1T,0.496
Utenos trikotaþas,UTR1L,1
Vilniaus baldai,VBL1L,7.5
VEF,VEF1R,2
Valmieras stikla ðíiedra,VSS1R,1.16
Þemaitijos pienas,ZMP1L,1.84
Baltic Telekom,BTE1R,0.4
East West Agro,EWA1L,7.1
Frigate,FRGTE,
K2 LT,K2LT,15.6
Linda Nektar,LINDA,3.98
MADARA Cosmetics,MDARA,7.65
